CityFacilityID(FK),WorkerID(FK),total,Jumlah Penduduk,Rasio,status,color
56,1,101,1060086,0.0000952753,Rendah,#B3FFE0
57,1,55,685490,0.0000802346,Rendah,#B3FFE0
58,1,69,636148,0.0001084653,Rendah,#B3FFE0
59,1,99,840327,0.0001178113,Rendah,#B3FFE0
60,1,181,1255119,0.0001442094,Rendah,#B3FFE0
61,1,129,1182070,0.0001091306,Rendah,#B3FFE0
62,1,279,1204437,0.0002316435,Rendah,#B3FFE0
63,1,426,1342628,0.0003172882,Rendah,#B3FFE0
64,1,53,1003188,0.0000528316,Rendah,#B3FFE0
65,1,36,1001140,0.0000359590,Rendah,#B3FFE0
66,1,110,898130,0.0001224767,Rendah,#B3FFE0
67,1,54,1096701,0.0000492386,Rendah,#B3FFE0
68,1,212,291256,0.0007278820,Sedang,#1AFFA3
69,1,129,143840,0.0008968298,Tinggi,#00663D
70,1,1076,880169,0.0012224925,Tinggi,#00663D
71,1,68,241423,0.0002816633,Rendah,#B3FFE0
72,1,46,203244,0.0002263289,Rendah,#B3FFE0
73,1,152,131216,0.0011583953,Tinggi,#00663D
74,1,199,177972,0.0011181534,Tinggi,#00663D
75,1,3195,2918543,0.0010947243,Tinggi,#00663D
76,1,114,211225,0.0005397088,Sedang,#1AFFA3
77,1,11,557164,0.0000197428,Rendah,#FFCCE6
78,1,6,877121,0.0000068406,Rendah,#FFCCE6
79,1,8,699526,0.0000114363,Rendah,#FFCCE6
80,1,26,1047645,0.0000248176,Rendah,#FFCCE6
81,1,16,1167796,0.0000137010,Rendah,#FFCCE6
82,1,5,1587132,0.0000031503,Rendah,#FFCCE6
83,1,28,2637160,0.0000106175,Rendah,#FFCCE6
84,1,20,1047482,0.0000190934,Rendah,#FFCCE6
85,1,6,2471542,0.0000024276,Rendah,#FFCCE6
86,1,39,1622536,0.0000240364,Rendah,#FFCCE6
87,1,5,782676,0.0000063883,Rendah,#FFCCE6
88,1,2,689361,0.0000029012,Rendah,#FFCCE6
89,1,5,1182298,0.0000042291,Rendah,#FFCCE6
90,1,5,1650256,0.0000030298,Rendah,#FFCCE6
91,1,110,2321549,0.0000473822,Rendah,#FFCCE6
92,1,4,1136879,0.0000035184,Rendah,#FFCCE6
93,1,6,1274197,0.0000047088,Rendah,#FFCCE6
94,1,26,1060086,0.0000245263,Rendah,#FFCCE6
95,1,6,685490,0.0000087529,Rendah,#FFCCE6
96,1,2,636148,0.0000031439,Rendah,#FFCCE6
97,1,50,840327,0.0000595006,Sedang,#FF0080
98,1,53,1255119,0.0000422271,Rendah,#FFCCE6
99,1,37,1182070,0.0000313010,Rendah,#FFCCE6
100,1,9,1204437,0.0000074724,Rendah,#FFCCE6
101,1,13,1342628,0.0000096825,Rendah,#FFCCE6
102,1,3,1003188,0.0000029905,Rendah,#FFCCE6
103,1,8,1001140,0.0000079909,Rendah,#FFCCE6
104,1,24,898130,0.0000267222,Rendah,#FFCCE6
105,1,1,1096701,0.0000009118,Rendah,#FFCCE6
106,1,20,291256,0.0000686681,Sedang,#FF0080
107,1,25,143840,0.0001738042,Tinggi,#660033
108,1,81,880169,0.0000920278,Sedang,#FF0080
109,1,39,241423,0.0001615422,Tinggi,#660033
110,1,20,203244,0.0000984039,Sedang,#FF0080
111,1,9,131216,0.0000685892,Sedang,#FF0080
112,1,29,177972,0.0001629470,Tinggi,#660033
113,1,166,2918543,0.0000568777,Sedang,#FF0080
114,1,5,211225,0.0000236714,Rendah,#FFCCE6
1,2,44,557164,0.0000789714,Rendah,#CCCCFF
2,2,64,877121,0.0000729660,Rendah,#CCCCFF
3,2,53,699526,0.0000757656,Rendah,#CCCCFF
4,2,65,1047645,0.0000620439,Rendah,#CCCCFF
5,2,44,1167796,0.0000376778,Rendah,#CCCCFF
6,2,91,1587132,0.0000573361,Rendah,#CCCCFF
7,2,114,2637160,0.0000432283,Rendah,#CCCCFF
8,2,77,1047482,0.0000735096,Rendah,#CCCCFF
9,2,120,2471542,0.0000485527,Rendah,#CCCCFF
10,2,99,1622536,0.0000610156,Rendah,#CCCCFF
11,2,57,782676,0.0000728271,Rendah,#CCCCFF
12,2,49,689361,0.0000710803,Rendah,#CCCCFF
13,2,38,1182298,0.0000321408,Rendah,#CCCCFF
14,2,78,1650256,0.0000472654,Rendah,#CCCCFF
15,2,147,2321549,0.0000633198,Rendah,#CCCCFF
16,2,50,1136879,0.0000439801,Rendah,#CCCCFF
17,2,93,1274197,0.0000729871,Rendah,#CCCCFF
18,2,40,1060086,0.0000377328,Rendah,#CCCCFF
19,2,51,685490,0.0000743993,Rendah,#CCCCFF
20,2,45,636148,0.0000707383,Rendah,#CCCCFF
21,2,74,840327,0.0000880610,Rendah,#CCCCFF
22,2,61,1255119,0.0000486010,Rendah,#CCCCFF
23,2,49,1182070,0.0000414527,Rendah,#CCCCFF
24,2,105,1204437,0.0000871777,Rendah,#CCCCFF
25,2,103,1342628,0.0000767152,Rendah,#CCCCFF
26,2,48,1003188,0.0000478475,Rendah,#CCCCFF
27,2,66,1001140,0.0000659248,Rendah,#CCCCFF
28,2,46,898130,0.0000512175,Rendah,#CCCCFF
29,2,75,1096701,0.0000683869,Rendah,#CCCCFF
30,2,61,291256,0.0002094377,Tinggi,#000080
31,2,10,143840,0.0000695217,Rendah,#CCCCFF
32,2,52,880169,0.0000590796,Rendah,#CCCCFF
33,2,32,241423,0.0001325474,Sedang,#3333FF
34,2,25,203244,0.0001230049,Sedang,#3333FF
35,2,21,131216,0.0001600415,Tinggi,#000080
36,2,27,177972,0.0001517093,Tinggi,#000080
37,2,337,2918543,0.0001154686,Sedang,#3333FF
38,2,14,211225,0.0000662800,Rendah,#CCCCFF
39,2,26,557164,0.0000466649,Rendah,#B3FFE0
40,2,152,877121,0.0001732942,Rendah,#B3FFE0
41,2,36,699526,0.0000514634,Rendah,#B3FFE0
42,2,146,1047645,0.0001393602,Rendah,#B3FFE0
43,2,94,1167796,0.0000804935,Rendah,#B3FFE0
44,2,162,1587132,0.0001020709,Rendah,#B3FFE0
45,2,301,2637160,0.0001141379,Rendah,#B3FFE0
46,2,99,1047482,0.0000945124,Rendah,#B3FFE0
47,2,319,2471542,0.0001290692,Rendah,#B3FFE0
48,2,134,1622536,0.0000825868,Rendah,#B3FFE0
49,2,33,782676,0.0000421630,Rendah,#B3FFE0
50,2,66,689361,0.0000957408,Rendah,#B3FFE0
51,2,58,1182298,0.0000490570,Rendah,#B3FFE0
52,2,101,1650256,0.0000612026,Rendah,#B3FFE0
53,2,293,2321549,0.0001262088,Rendah,#B3FFE0
54,2,133,1136879,0.0001169869,Rendah,#B3FFE0
55,2,150,1274197,0.0001177212,Rendah,#B3FFE0
56,2,57,1060086,0.0000537692,Rendah,#B3FFE0
57,2,53,685490,0.0000773170,Rendah,#B3FFE0
58,2,138,636148,0.0002169307,Rendah,#B3FFE0
59,2,40,840327,0.0000476005,Rendah,#B3FFE0
60,2,121,1255119,0.0000964052,Rendah,#B3FFE0
61,2,78,1182070,0.0000659859,Rendah,#B3FFE0
62,2,270,1204437,0.0002241711,Rendah,#B3FFE0
63,2,368,1342628,0.0002740893,Rendah,#B3FFE0
64,2,57,1003188,0.0000568189,Rendah,#B3FFE0
65,2,22,1001140,0.0000219749,Rendah,#B3FFE0
66,2,66,898130,0.0000734860,Rendah,#B3FFE0
67,2,55,1096701,0.0000501504,Rendah,#B3FFE0
68,2,188,291256,0.0006454803,Sedang,#1AFFA3
69,2,78,143840,0.0005422692,Rendah,#B3FFE0
